henry,henry,H,The henry is a unit of inductance defined as square metre times kilogram divided by second squared times ampere squared = weber divided by ampere = volt second divided by ampere = (joule divided by coulomb) times second divided by (coulomb divided by second) = joule times second squared divided by coulomb squared = square metre times kilogram divided by coulomb squared.
degreeCelsius,degree Celsius,°C,The degree Celsius is a unit of temperature defined as 1 kelvin.
lumen,lumen,lm,The lumen is a unit of luminous flux defined as candela times steradian = lux times square metre.
lux,lux,lx,The lux is a unit of illuminance defined as lumen divided by square metre = candela times steradian divided by square metre.
becquerel,becquerel,Bq,The becquerel is a unit of activity defined as the activity of a quantity of radioactive material in which one nucleus decays per second. Algebraically it is defined as 1 divided by second.
gray,gray,Gy,The gray is a unit of absorbed dose defined as joule divided by kilogram = square metre divided by second squared.
sievert,sievert,Sv,The sievert is a unit of dose equivalent defined as joule divided by kilogram = square metre divided by second squared.
katal,katal,kat,The katal is a unit of catalytic activity defined as mole divided by second.
kayser,kayser,,The kayser is a unit of wavenumber defined as 100 reciprocal metre.
day,day,d,The day is a unit of time defined as 86400 second.
hour,hour,h,The hour is a unit of time defined as 3600 second.
minute-Time,minute,min,The minute (time) is a unit of time defined as 60 second.
year,year,a,The year is a unit of time defined as 31556952 second.
shake,shake,,The shake is a unit of time defined as 1.0e-8 second.
day-Sidereal,day (sidereal),,The sidereal day is a unit of time defined as 8.616409e4 second.
hour-Sidereal,hour (sidereal),,
minute-Sidereal,minute (sidereal),,The sidereal minute is a unit of time defined as 5.983617e1 second.
second-Sidereal,second (sidereal),,The sidereal second is a unit of time defined as 9.972696e-1 second.
year-Sidereal,year (sidereal),,The sidereal year is a unit of time defined as 3.155815e7 second.
year-Tropical,year (tropical),,The tropical year is a unit of time defined as 3.155693e7 second.
knot-International,knot (international),,The international knot is a unit of speed defined as nautical mile per hour.
month,month,,The month is a unit of time.
week,week,,The week is a unit of time defined as 6.04800e5 second.
carat-Mass,carat (mass),,The carat (mass) is a unit of mass defined as 2.0e-4 kilogram.
grain,grain,gr,The grain is a unit of mass defined as 6.479891e-5 kilogram.
hundredweight-British,hundredweight (British),,The British hundredweight is a unit of mass defined as 5.080235e1 kilogram.
hundredweight-US,hundredweight (US),,The US hundredweight is a unit of mass defined as 4.535924e1 kilogram.
InternationalUnit,International Unit,IU,
milligramRAE,milligram RAE,,
ounceApothecaries,ounce (apothecaries'),oz (ap.),The apothecaries' ounce is a unit of mass defined as 3.110348e-2 kilogram.
ounceAvoirdupois,ounce (avoirdupois),oz,The avoirdupois ounce is a unit of mass defined as 2.834952e-2 kilogram.
pennyweight-Troy,pennyweight (Troy),dwt,The Troy pennyweight is a unit of mass defined as 1.555174e-3 kilogram.
poundApothecaries,pound (apthecaries'),lb,The apothecaries' pound is a unit of mass defined as 3.732417e-1 kilogram.
poundAvoirdupois,pound (avoirdupois),lb,The avoirdupois pound is a unit of mass defined as 4.535924e-1 kilogram.
slug,slug,slug,The slug is a unit of mass defined as 1.459390e1 kilogram.
solarMass,solar mass,M_☉,Solar mass is a unit used in astronomy to denote stellar or galactic masses (http://en.wikipedia.org/wiki/SolarMass).
ton-ShortAssay,ton (short assay),,The short assay ton is a unit of mass defined as 2.916667e-2 kilogram.
ton-Long,ton (long),,The long ton is a unit of mass defined as 1.016047e3 kilogram.
ton-Short,ton (short),,The short ton is a unit of mass defined as 9.071847e2 kilogram.
tonne,tonne,t,The tonne is a unit of mass defined as 1000 kilogram.
unifiedAtomicMassUnit,unified atomic mass unit,u,The unified atomic mass unit is a unit of mass defined as 1.660538782(83)e-27 kilogram.
one,one,1,Unit one is a unit of dimension one.
percent,percent,%,The percent is a unit of dimension one defined as 1/100.
partsPerMillion,parts per million,ppm,Parts per million is a unit of dimension one defined as 1/1 000 000.
halfDozen,half dozen,,Half dozen is a unit of dimension one defined as 6.
dozen,dozen,,Dozen is a unit of dimension one defined as 12.
hundredCount,hundred count,,Hundred count is a unit of dimension one defined as 100.
gross,gross,,Gross is a unit of dimension one defined as 144.
thousandPiece,thousand piece,,Thousand is a unit of dimension one defined as 1000.
kip,kip,,The kip is a unit of force defined as 4.448222e3 newton.
poundal,poundal,,The poundal is a unit of force defined as 1.382550e-1 newton.
pound-Force,pound-force,lbf,The pound-force is a unit of force defined as 4.448222 newton.
ton-Force-Short,ton-force (short),,The short ton-force is a unit of force defined as 8.896443e3 newton.
atmosphere-Standard,atmosphere (standard),atm,The standard atmosphere is a unit of pressure defined as 1.01325e5 pascal.
atmosphere-Technical,atmosphere (technical),at,The technical atmosphere is a unit of pressure defined as 9.80665e4 pascal.
bar,bar,bar,The bar is a unit of pressure defined as 100 000 pascal.
barye,barye,ba,The barye is a unit of pressure defined as 0.1 pascal.
metreOfMercury,metre of mercury,m Hg,The metre of mercury is a unit of pressure defined as 133 322 pascal.
torr,torr,Torr,The torr is a unit of pressure defined as 1.333224e2 pascal.
BritishThermalUnit-39F,British thermal unit (39 °F),Btu,
BritishThermalUnit-59F,British thermal unit (59 °F),Btu,
BritishThermalUnit-60F,British thermal unit (60 °F),Btu,
BritishThermalUnit-InternationalTable,British thermal unit (International Table),Btu_IT,
BritishThermalUnit-Mean,British thermal unit (mean),Btu,
BritishThermalUnit-Thermochemical,British thermal unit (thermochemical),Btu_th,
calorie-15C,calorie (15 °C),cal_15,
calorie-20C,calorie (20 °C),cal_20,
calorie-InternationalTable,calorie (International Table),cal_IT,
calorie-Mean,calorie (mean),cal,The mean calorie is a unit of energy defined as 4.19002 joule.
calorie-Thermochemical,calorie (thermochemical),cal_th,
electronvolt,electronvolt,eV,The electronvolt is a unit of energy defined as 1.602177e-19 joule.
footPoundal,foot poundal,,The foot poundal is a unit of energy defined as 4.214011e-2 joule.
quad,quad,,The quad is a unit of energy defined as 1.0e15 British thermal unit (International Table).
therm-EC,therm (EC),,The EC therm is a unit of energy defined as 1.05506e8 joule.
therm-US,therm (US),,The US therm is a unit of energy defined as 1.054804e8 joule.
tonOfTNT,ton of TNT,,The ton of TNT is a unit of energy defined as 4.184e9 joule.
horsepower-Boiler,horsepower (boiler),,The boiler horsepower is a unit of power defined as 9.80950e3 watt.
horsepower-British,horsepower (British),,The British horsepower is a unit of power defined as 7.4570e2 watt.
horsepower-Electric,horsepower (electric),,The electric horsepower is a unit of power defined as 7.46e2 watt.
horsepower-Metric,horsepower (metric),PS,The metric horsepower is a unit of power defined as 7.354988e2 watt.
horsepower-Water,horsepower (water),,The water horsepower is a unit of power defined as 7.46043e2 watt.
kilocalorie-MeanPerDay,kilocalorie (mean) per day,kcal/d,
solarLuminosity,solar luminosity,L_☉,Solar luminosity is a unit used in astronomy to denote stellar or galactic radiant fluxes (http://en.wikipedia.org/wiki/SolarLuminosity).
tonOfRefrigeration,ton of refrigeration,,The ton of refrigeration is a unit of power defined as 3.516853e3 watt.
rhe,rhe,,The rhe is a unit of fluidity defined as 10 reciprocal pascal second (time).
degreeFahrenheit,degree Fahrenheit,°F,The degree Fahrenheit is a unit of temperature defined as 5.555556e-1 kelvin.
degreeRankine,degree Rankine,°R,The degree Rankine is a unit of temperature defined as 5.555556e-1 kelvin.
degreeReaumur,degree Réaumur ,°Ré,The degree Réaumur  is a unit of temperature defined as 1.25 kelvin.
faraday,faraday,,The faraday is a unit of electric charge defined as 9.648531e4 coulomb.
mho,mho,,The mho is a unit of electrical conductance defined as 1 siemens.
unitPole,unit pole,,The unit pole is a unit of magnetic flux defined as 1.256637e-7 weber.
gamma,gamma,γ,The gamma is a unit of magnetic flux density defined as 1.0e-9 tesla.
debye,debye,D,The debye is a unit of electric dipole moment defined as 3.33564e-30 coulomb metre.
molar,molar,M,Molar is a unit of amount of substance concentration defined as 1 mole per litre.
amylaseUnit,amylase unit,AU,The amylase unit is a unit of catalytic activity.
deltaA450,delta A450,,
footlambert,footlambert,,The footlambert is a unit of luminance defined as 3.426259 candela per square metre.
lambert,lambert,,The lambert is a unit of luminance defined as 3.183099e3 candela per square metre.
footcandle,footcandle,,The footcandle is a unit of illuminance defined as 1.076391e1 lux.
rad,rad,rad,The rad is a unit of absorbed dose defined as 1.0e-2 gray.
rem,rem,rem,The rem is a unit of dose equivalent defined as 1.0e-2 sievert.
curie,curie,Ci,The curie is a unit of activity defined as 3.7e10 becquerel.
röntgen,röntgen,R,The röntgen is a unit of exposure to x and Î³ rays defined as 2.58e-4 coulomb per kilogram.
hour-HourAngle,hour (hour angle),h,
jansky,jansky,Jy,
magnitude,magnitude,mag,
minute-HourAngle,minute (hour angle),m,
second-HourAngle,second (hour angle),s,
darcy,darcy,,The darcy is a unit of area defined as 9.869233e-13 square metre.
perm-0C,perm (0 °C),,The 0 °C perm is a unit of permeance defined as 5.72135e-11 kilogram per pascal second (time) square metre.
perm-23C,perm (23 °C),,The 23 °C  perm is a unit of permeance defined as 5.74525e-11 kilogram per pascal second (time) square metre.
colonyFormingUnit,colony forming unit,CFU,
bel,bel,B,
bit,bit,bit,The bit is a unit of information capacity defined as the information capacity of one binary digit.
byte,byte,B,The byte is a unit of information capacity defined as 8 bit.
hartley,hartley,Hart,The hartley is a unit of information capacity defined as 3.321928095 bit.
shannon,shannon,Sh,The shannon is a unit of information capacity defined as 1 bit.
pixel,pixel,,
baud,baud,Bd,The baud is a unit of symbol rate defined as one distinct symbol change or signalling event made to the transmission medium per second in a digitally modulated signal or a line code.
_1-5,1-5,,
_1-0,1/0,,
_1-10,1-10,,
_0-100,0-100,,
AFS,AFS,,
_0-5,0-5,,
micrometre,micrometre,μm,The micrometre is a unit of length defined as 1.0e-6 metre.
millimetre,millimetre,mm,The millimetre is a unit of length defined as 1.0e-3 metre.
centimetre,centimetre,cm,The centimetre is a unit of length defined as 1.0e-2 metre.
decimetre,decimetre,dm,The decimetre is a unit of length defined as 1.0e-1 metre.
decametre,decametre,dam,The decametre is a unit of length defined as 1.0e1 metre.
hectometre,hectometre,hm,The hectometre is a unit of length defined as 1.0e2 metre.
kilometre,kilometre,km,The kilometre is a unit of length defined as 1.0e3 metre.
megametre,megametre,Mm,The megametre is a unit of length defined as 1.0e6 metre.
gigametre,gigametre,Gm,The gigametre is a unit of length defined as 1.0e9 metre.
attometre,attometre,am,The attometre is a unit of length defined as 1.0e-18 metre.
femtometre,femtometre,fm,The femtometre is a unit of length defined as 1.0e-15 metre.
picometre,picometre,pm,The picometre is a unit of length defined as 1.0e-12 metre.
nanometre,nanometre,nm,The nanometre is a unit of length defined as 1.0e-9 metre.
terametre,terametre,Tm,The terametre is a unit of length defined as 1.0e12 metre.
petametre,petametre,Pm,The petametre is a unit of length defined as 1.0e15 metre.
exametre,exametre,Em,The exametre is a unit of length defined as 1.0e18 metre.
megaparsec,megaparsec,Mpc,The megaparsec is a unit of length defined as 1.0e6 parsec. Gebruikt voor afstanden op de schaal van clusters.
centiare,centiare,ca,The centiare is a unit of area defined as 1.0e-2 are.
hectare,hectare,ha,The hectare is a unit of area defined as 1.0e2 are.
microlitre,microlitre,μl,
millilitre,millilitre,ml,
centilitre,centilitre,cl,
decilitre,decilitre,dl,
decalitre,decalitre,dal,
hectolitre,hectolitre,hl,
kilolitre,kilolitre,kl,
megalitre,megalitre,Ml,
gigalitre,gigalitre,Gl,
attolitre,attolitre,al,
femtolitre,femtolitre,fl,
picolitre,picolitre,pl,
nanolitre,nanolitre,nl,
teralitre,teralitre,Tl,
petalitre,petalitre,Pl,
exalitre,exalitre,El,
microradian,microradian,μrad,
milliradian,milliradian,mrad,
