Unit,statohm,statohm,statΩ,The statohm is a unit of electrical resistance defined as 8.987552e11 ohm.,electricity
Unit,statweber,statweber,statWb,The statweber is a unit of magnetic flux defined as 2.9979e2 weber.,magnetism
Unit,biot,biot,Bi,The biot is a unit of electric current defined as 10 ampere.,electricity
Unit,franklin,franklin,Fr,The franklin is a unit of electric charge defined as 3.335641e-10 coulomb.,electricity
Unit,ampere,ampere,A,"The ampere is a unit of electric current defined as the constant current that produces an attractive force of 2eâ€“7 newton per metre of length between two straight, parallel conductors of infinite length and negligible circular cross section placed one metre apart in a vacuum.",electricity
Unit,kelvin,kelvin,K,The kelvin is a unit of temperature defined as 1/273.16 of the thermodynamic temperature of the triple point of water.,temperature
Unit,mole,mole,mol,The mole is a unit of amount of substance defined as the amount of substance of a system that contains as many elementary entities as there are atoms in 0.012 kilogram of carbon 12.,substance
Unit,candela,candela,cd,"The candela is a unit of luminous intensity defined as the luminous intensity, in a given direction, of a source that emits monochromatic radiation of frequency 540e12 hertz and that has a radiant intensity in that direction of 1/683 watt per steradian.",luminance
Unit,newton,newton,N,The newton is a unit of force defined as kilogram timesmetre divided by second squared.,force
Unit,pascal,pascal,Pa,The pascal is a unit of pressure and stress defined as newton divided by square metre = joule divided by cubic metre = kilogram divided by metre second squared.,pressure
Unit,joule,joule,J,The joule is a unit of energy defined as kilogram times square metre divided by second squared.,energy
Unit,watt,watt,W,The watt is a unit of power defined as joule divided by second = newton times metre divided by second = volt times ampere = kilogram times square metre divided by second to the power 3.,power
Unit,coulomb,coulomb,C,The coulomb is a unit of electric charge defined as ampere times second = farad times volt.,electricity
Unit,volt,volt,V,The volt is a unit of electric potential defined as watt divided by ampere = joule divided by coulomb = newton times metre divided by ampere times second = kilogram times square metre divided by ampere times second to the power 3.,electricity
Unit,farad,farad,F,The farad is a unit of capacitance defined as ampere times second divided by volt = coulomb divided by volt = coulomb squared divided by joule = coulomb squared divided by newton times metre = second squared times coulomb squared divided by square metre times kilogram = second to the power 4 times ampere squared divided by square metre times kilogram.,electricity
Unit,ohm,ohm,Ω,The ohm is a unit of electrical resistance defined as volt divided by ampere = square metre times kilogram divided by second to the power 3 times ampere squared.,electricity
Unit,siemens,siemens,S,The siemens is a unit of electrical conductance defined as 1 divided by ohm = ampere divided by volt = coulomb squared times second divided by kilogram times square metre = ampere squared times second to the power 3 divided by kilogram times square metre.,electricity
Unit,weber,weber,Wb,The weber is a unit of magnetic flux defined as kilogram times square metre divided by second squared times ampere = volt times second = joule divided by ampere.,magnetism
Unit,tesla,tesla,T,The tesla is a unit of magnetic flux density defined as volt times second divided by square metre = newton divided by ampere times metre = weber divided by square metre = kilogram divided by coulomb times second = kilogram divided by ampere times second squared.,magnetism
Unit,henry,henry,H,The henry is a unit of inductance defined as square metre times kilogram divided by second squared times ampere squared = weber divided by ampere = volt second divided by ampere = (joule divided by coulomb) times second divided by (coulomb divided by second) = joule times second squared divided by coulomb squared = square metre times kilogram divided by coulomb squared.,electricity
Unit,degreeCelsius,degree Celsius,°C,The degree Celsius is a unit of temperature defined as 1 kelvin.,temperature
Unit,lumen,lumen,lm,The lumen is a unit of luminous flux defined as candela times steradian = lux times square metre.,luminance
Unit,lux,lux,lx,The lux is a unit of illuminance defined as lumen divided by square metre = candela times steradian divided by square metre.,luminance
Unit,becquerel,becquerel,Bq,The becquerel is a unit of activity defined as the activity of a quantity of radioactive material in which one nucleus decays per second. Algebraically it is defined as 1 divided by second.,activity
Unit,gray,gray,Gy,The gray is a unit of absorbed dose defined as joule divided by kilogram = square metre divided by second squared.,dose
