type,unit,label,labelLang,symbol,definition
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/teraampere,teraampère,nl,TA,The teraampere is a unit of electric current defined as 1.0e12 ampere.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/petaampere,petaampere,en,PA,The petaampere is a unit of electric current defined as 1.0e15 ampere.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/petaampere,petaampère,nl,PA,The petaampere is a unit of electric current defined as 1.0e15 ampere.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/exaampere,exaampere,en,EA,The exaampere is a unit of electric current defined as 1.0e18 ampere.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/exaampere,exaampère,nl,EA,The exaampere is a unit of electric current defined as 1.0e18 ampere.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/zettaampere,zettaampere,en,ZA,The zettaampere is a unit of electric current defined as 1.0e21 ampere.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/zettaampere,zettaampère,nl,ZA,The zettaampere is a unit of electric current defined as 1.0e21 ampere.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yottaampere,yottaampere,en,YA,The yottaampere is a unit of electric current defined as 1.0e24 ampere.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yottaampere,yottaampère,nl,YA,The yottaampere is a unit of electric current defined as 1.0e24 ampere.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yoctokelvin,yoctokelvin,en,yK,The yoctokelvin is a unit of temperature defined as 1.0e-24 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yoctokelvin,yoctokelvin,nl,yK,The yoctokelvin is a unit of temperature defined as 1.0e-24 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/zeptokelvin,zeptokelvin,en,zK,The zeptkelvin is a unit of temperature defined as 1.0e-21 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/zeptokelvin,zeptokelvin,nl,zK,The zeptkelvin is a unit of temperature defined as 1.0e-21 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/attokelvin,attokelvin,en,aK,The attokelvin is a unit of temperature defined as 1.0e-18 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/attokelvin,attokelvin,nl,aK,The attokelvin is a unit of temperature defined as 1.0e-18 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/picokelvin,picokelvin,en,pK,The picokelvin is a unit of temperature defined as 1.0e-12 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/picokelvin,picokelvin,nl,pK,The picokelvin is a unit of temperature defined as 1.0e-12 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/femtokelvin,femtokelvin,en,fK,The femtokelvin is a unit of temperature defined as 1.0e-15 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/femtokelvin,femtokelvin,nl,fK,The femtokelvin is a unit of temperature defined as 1.0e-15 kelvin.
