Code,Label,Symbol,Description
M75,kilopound-force,kip,1000-fold of the unit of the force pound-force (lbf) according to the Anglo-American system of units with the relationship.
M76,poundal,pdl,"Non SI-conforming unit of the power, which corresponds to a mass of a pound multiplied with the acceleration of a foot per square second."
M77,kilogram metre per second squared,kg·m/s²,Product of the SI base unit kilogram and the SI base unit metre divided by the power of the SI base unit second by exponent 2.
M78,pond,p,"0,001-fold of the unit of the weight, defined as a mass of 1 kg which finds out about a weight strength from 1 kp by the gravitational force at sea level which corresponds to a strength of 9,806 65 newton."
M79,square foot per hour,ft²/h,Power of the unit foot according to the Anglo-American and Imperial system of units by exponent 2 divided by the unit of time hour.
M80,stokes per pascal,St/Pa,CGS (Centimetre-Gram-Second system) unit stokes divided by the derived SI unit pascal.
M81,square centimetre per second,cm²/s,"0,000 1-fold of the power of the SI base unit metre by exponent 2 divided by the SI base unit second."
M82,square metre per second pascal,(m²/s)/Pa,Power of the SI base unit metre with the exponent 2 divided by the SI base unit second and the derived SI unit pascal.
M83,denier,den,Traditional unit for the indication of the linear mass of textile fibers and yarns.
M84,pound per yard,lb/yd,Unit for linear mass according to avoirdupois system of units.
M85,"ton, assay",,Non SI-conforming unit of the mass used in the mineralogy to determine the concentration of precious metals in ore according to the mass of the precious metal in milligrams in a sample of the mass of an assay sound (number of troy ounces in a short ton (1 000 lb)).
M86,pfund,pfd,Outdated unit of the mass used in Germany.
M87,kilogram per second pascal,(kg/s)/Pa,SI base unit kilogram divided by the product of the SI base unit second and the derived SI unit pascal.
M88,tonne per month,t/mo,Unit tonne divided by the unit month.
M89,tonne per year,t/y,Unit tonne divided by the unit year with 365 days.
M9,million Btu per 1000 cubic foot,MBTU/kft³,
M90,kilopound per hour,klb/h,1000-fold of the unit of the mass avoirdupois pound according to the avoirdupois unit system divided by the unit hour.
M91,pound per pound,lb/lb,Proportion of the mass consisting of the avoirdupois pound according to the avoirdupois unit system divided by the avoirdupois pound according to the avoirdupois unit system.
M92,pound-force foot,lbf·ft,Product of the unit pound-force according to the Anglo-American system of units and the unit foot according to the Anglo-American and the Imperial system of units.
M93,newton metre per radian,N·m/rad,Product of the derived SI unit newton and the SI base unit metre divided by the unit radian.
M94,kilogram metre,kg·m,Unit of imbalance as a product of the SI base unit kilogram and the SI base unit metre.
M95,poundal foot,pdl·ft,Product of the non SI-conforming unit of the force poundal and the unit foot according to the Anglo-American and Imperial system of units .
M96,poundal inch,pdl·in,Product of the non SI-conforming unit of the force poundal and the unit inch according to the Anglo-American and Imperial system of units .
M97,dyne metre,dyn·m,CGS (Centimetre-Gram-Second system) unit of the rotational moment.
M98,kilogram centimetre per second,kg·(cm/s),"Product of the SI base unit kilogram and the 0,01-fold of the SI base unit metre divided by the SI base unit second."
M99,gram centimetre per second,g·(cm/s),"Product of the 0,001-fold of the SI base unit kilogram and the 0,01-fold of the SI base unit metre divided by the SI base unit second."
MAH,megavolt ampere reactive hour,Mvar·h,A unit of electrical reactive power defining the total amount of reactive power across a power system.
MAL,megalitre,Ml,
MAM,megametre,Mm,
MAR,megavar,Mvar,A unit of electrical reactive power represented by a current of one thousand amperes flowing due a potential difference of one thousand volts where the sine of the phase angle between them is 1.
MAW,megawatt,MW,A unit of power defining the rate of energy transferred or consumed when a current of 1000 amperes flows due to a potential of 1000 volts at unity power factor.
MBE,thousand standard brick equivalent,,A unit of count defining the number of one thousand brick equivalent units.
MBF,thousand board foot,,A unit of volume equal to one thousand board foot.
MBR,millibar,mbar,
MC,microgram,µg,
MCU,millicurie,mCi,
MD,air dry metric ton,,"A unit of count defining the number of metric tons of a product, disregarding the water content of the product."
MGM,milligram,mg,
MHZ,megahertz,MHz,
MIK,square mile (statute mile),mi²,
MIL,thousand,,
MIN,minute [unit of time],min,
MIO,million,,
MIU,million international unit,,A unit of count defining the number of international units in multiples of 10⁶.
MKD,Square Metre Day,m²·d,Unit for measuring physical dimensions and time as required by DIN 18451
MKM,Square Metre Month,m²·mo,Unit for measuring physical dimensions and time as required by DIN 18451
MKW,Square Metre Week,m²· wk,Unit for measuring physical dimensions and time as required by DIN 18451
MLD,milliard,,Synonym: billion (US)
MLT,millilitre,ml,
MMK,square millimetre,mm²,
MMQ,cubic millimetre,mm³,
MMT,millimetre,mm,
MND,"kilogram, dry weight",,"A unit of mass defining the number of kilograms of a product, disregarding the water content of the product."
MNJ,Mega Joule per Normalised cubic Metre,MJ/m³,Energy in Mega Joules per normalised cubic metre for gas (temperature 0°C and pressure 101325 millibars)
MON,month,mo,"Unit of time equal to 1/12 of a year of 365,25 days."
MPA,megapascal,MPa,
MQD,Cubic Metre Day,m³·d,Unit for measuring physical dimensions and time as required by DIN 18451
MQH,cubic metre per hour,m³/h,
MQM,Cubic Metre Month,m³·mo,Unit for measuring physical dimensions and time as required by DIN 18451
MQS,cubic metre per second,m³/s,
MQW,Cubic Metre Week,m³·wk,Unit for measuring physical dimensions and time as required by DIN 18451
MRD,Metre Day,m·day,Unit for measuring physical dimensions and time as required by DIN 18451
MRM,Metre Month,m·mo,Unit for measuring physical dimensions and time as required by DIN 18451
MRW,Metre Week,m·wk,"Unit for measuring physical dimensions and time, as required by DIN 18451"
MSK,metre per second squared,m/s²,
MTK,square metre,m²,
MTQ,cubic metre,m³,Synonym: metre cubed
MTR,metre,m,
MTS,metre per second,m/s,
MTZ,millihertz,mHz ,A unit of frequency equal to 0.001 cycle per second
MVA,megavolt - ampere,MV·A,
MWH,megawatt hour (1000 kW.h),MW·h,A unit of power defining the total amount of bulk energy transferred or consumed.
N1,pen calorie,,A unit of count defining the number of calories prescribed daily for parenteral/enteral therapy.
N10,pound foot per second,lb·(ft/s),Product of the avoirdupois pound according to the avoirdupois unit system and the unit foot according to the Anglo-American and Imperial system of units divided by the SI base unit second.
N11,pound inch per second,lb·(in/s),Product of the avoirdupois pound according to the avoirdupois unit system and the unit inch according to the Anglo-American and Imperial system of units divided by the SI base unit second.
N12,Pferdestaerke,PS,"Obsolete unit of the power relating to DIN 1301-3:1979: 1 PS = 735,498 75 W."
N13,centimetre of mercury (0 ºC),cmHg (0 ºC),"Non SI-conforming unit of pressure, at which a value of 1 cmHg meets the static pressure, which is generated by a mercury at a temperature of 0 °C with a height of 1 centimetre ."
N14,centimetre of water (4 ºC),cmH₂O (4 °C),"Non SI-conforming unit of pressure, at which a value of 1 cmH2O meets the static pressure, which is generated by a head of water at a temperature of 4 °C with a height of 1 centimetre ."
N15,foot of water (39.2 ºF),"ftH₂O (39,2 ºF)","Non SI-conforming unit of pressure according to the Anglo-American and Imperial system for units, whereas the value of 1 ftH2O is equivalent to the static pressure, which is generated by a head of water at a temperature 39,2°F with a height of 1 foot ."
N16,inch of mercury (32 ºF),inHG (32 ºF),"Non SI-conforming unit of pressure according to the Anglo-American and Imperial system for units, whereas the value of 1 inHg meets the static pressure, which is generated by a mercury at a temperature of 32°F with a height of 1 inch."
